model,n_folds,mean_accuracy,std_accuracy,mean_f1,std_f1,mean_precision,std_precision,mean_recall,std_recall,mean_train_time_s,complete
MobileNetV2,5,0.7790379376785596,0.013003406336426207,0.7835266998547432,0.021020460884621155,0.8095360295325312,0.01902200099422384,0.7743420088683247,0.02430690463828795,427.6,True
EfficientNet-Lite,5,0.7594644874094745,0.05002724902705713,0.7652924417037137,0.05853020559166527,0.7762548350444064,0.05978528523017355,0.7620124670650986,0.055100357450489704,357.3,True
ShuffleNetV2,5,0.6731845060128895,0.027414852964214382,0.6815354466901932,0.029820201500323867,0.7115766308635761,0.023042946127627407,0.6820723603881499,0.02746142889785647,331.71999999999997,True
VGG16,2,0.7040229885057472,0.004063832075784751,0.7110330142278309,0.007934231514887237,0.7205751302074831,0.007284376872389751,0.7068097326649958,0.019912569553165265,3252.95,False
